2009-05-09 23:10:33 Warning: Warning (2): Missing argument 1 for Tiarra::getDirList(), called in /export/wwwroot/makies.com/m.makies.com/controllers/tiarras_controller.php on line 26 and defined in [APP/models/tiarra.php, line 7]
2009-05-09 23:10:33 Warning: Warning (2): Missing argument 1 for Tiarra::getDirList(), called in /export/wwwroot/makies.com/m.makies.com/controllers/tiarras_controller.php on line 26 and defined in [APP/models/tiarra.php, line 7]
2009-05-09 23:11:11 Warning: Warning (2): opendir(/home/maki/bot/tiarra/log/) [<a href='http://php.net/function.opendir'>function.opendir</a>]: failed to open dir: Permission denied in [APP/models/tiarra.php, line 10]
2009-05-09 23:12:19 Warning: Warning (2): filetype() [<a href='http://php.net/function.filetype'>function.filetype</a>]: Lstat failed for /home/maki/bot/tiarra/log/#PHPStudy@wide=3a=2a.jp in [APP/models/tiarra.php, line 15]
2009-05-09 23:12:19 Warning: Warning (2): filetype() [<a href='http://php.net/function.filetype'>function.filetype</a>]: Lstat failed for /home/maki/bot/tiarra/log/. in [APP/models/tiarra.php, line 15]
2009-05-09 23:12:19 Warning: Warning (2): filetype() [<a href='http://php.net/function.filetype'>function.filetype</a>]: Lstat failed for /home/maki/bot/tiarra/log/.. in [APP/models/tiarra.php, line 15]
2009-05-09 23:12:19 Warning: Warning (2): filetype() [<a href='http://php.net/function.filetype'>function.filetype</a>]: Lstat failed for /home/maki/bot/tiarra/log/#PHP@wide=3a=2a.jp in [APP/models/tiarra.php, line 15]
2009-05-09 23:12:19 Warning: Warning (2): filetype() [<a href='http://php.net/function.filetype'>function.filetype</a>]: Lstat failed for /home/maki/bot/tiarra/log/#makies@wide in [APP/models/tiarra.php, line 15]
2009-05-09 23:12:19 Warning: Warning (2): filetype() [<a href='http://php.net/function.filetype'>function.filetype</a>]: Lstat failed for /home/maki/bot/tiarra/log/#rubysapporo@ust in [APP/models/tiarra.php, line 15]
2009-05-09 23:12:20 Warning: Warning (2): filetype() [<a href='http://php.net/function.filetype'>function.filetype</a>]: Lstat failed for /home/maki/bot/tiarra/log/#PHPStudy@wide=3a=2a.jp in [APP/models/tiarra.php, line 15]
2009-05-09 23:12:20 Warning: Warning (2): filetype() [<a href='http://php.net/function.filetype'>function.filetype</a>]: Lstat failed for /home/maki/bot/tiarra/log/. in [APP/models/tiarra.php, line 15]
2009-05-09 23:12:20 Warning: Warning (2): filetype() [<a href='http://php.net/function.filetype'>function.filetype</a>]: Lstat failed for /home/maki/bot/tiarra/log/.. in [APP/models/tiarra.php, line 15]
2009-05-09 23:12:20 Warning: Warning (2): filetype() [<a href='http://php.net/function.filetype'>function.filetype</a>]: Lstat failed for /home/maki/bot/tiarra/log/#PHP@wide=3a=2a.jp in [APP/models/tiarra.php, line 15]
2009-05-09 23:12:20 Warning: Warning (2): filetype() [<a href='http://php.net/function.filetype'>function.filetype</a>]: Lstat failed for /home/maki/bot/tiarra/log/#makies@wide in [APP/models/tiarra.php, line 15]
2009-05-09 23:12:20 Warning: Warning (2): filetype() [<a href='http://php.net/function.filetype'>function.filetype</a>]: Lstat failed for /home/maki/bot/tiarra/log/#rubysapporo@ust in [APP/models/tiarra.php, line 15]
2009-05-10 11:40:05 Warning: Warning (2): Missing argument 1 for FormHelper::textarea(), called in /export/wwwroot/makies.com/m.makies.com/views/tiarras/file.ctp on line 4 and defined in [CORE/cake/libs/view/helpers/form.php, line 986]
2009-05-10 11:41:44 Warning: Warning (2): fsockopen() [<a href='http://php.net/function.fsockopen'>function.fsockopen</a>]: unable to connect to unix:///tmp/tiarra-control/socketname:-1 (No such file or directory) in [/usr/share/php/Net/Socket/Tiarra.php, line 169]
2009-05-10 11:44:27 Warning: Warning (2): fsockopen() [<a href='http://php.net/function.fsockopen'>function.fsockopen</a>]: unable to connect to unix:///tmp/tiarra-control/socketname:-1 (No such file or directory) in [/usr/share/php/Net/Socket/Tiarra.php, line 169]
2009-05-10 11:50:00 Warning: Warning (2): fsockopen() [<a href='http://php.net/function.fsockopen'>function.fsockopen</a>]: unable to connect to unix:///tmp/tiarra-control/socketname:-1 (Permission denied) in [/usr/share/php/Net/Socket/Tiarra.php, line 169]
2009-05-10 11:50:13 Warning: Warning (2): fsockopen() [<a href='http://php.net/function.fsockopen'>function.fsockopen</a>]: unable to connect to unix:///tmp/tiarra-control/socketname:-1 (Connection refused) in [/usr/share/php/Net/Socket/Tiarra.php, line 169]
2009-05-10 11:58:18 Warning: Warning (2): fsockopen() [<a href='http://php.net/function.fsockopen'>function.fsockopen</a>]: unable to connect to unix:///tmp/tiarra-control/socketname:-1 (Connection refused) in [/usr/share/php/Net/Socket/Tiarra.php, line 169]
2009-05-10 12:02:22 Warning: Warning (2): fsockopen() [<a href='http://php.net/function.fsockopen'>function.fsockopen</a>]: unable to connect to unix:///tmp/tiarra-control/socketname:-1 (Connection refused) in [/usr/share/php/Net/Socket/Tiarra.php, line 169]
2009-05-10 12:02:27 Warning: Warning (2): fsockopen() [<a href='http://php.net/function.fsockopen'>function.fsockopen</a>]: unable to connect to unix:///tmp/tiarra-control/socketname:-1 (Connection refused) in [/usr/share/php/Net/Socket/Tiarra.php, line 169]
2009-05-10 12:06:35 Warning: Warning (2): fsockopen() [<a href='http://php.net/function.fsockopen'>function.fsockopen</a>]: unable to connect to unix:///tmp/tiarra-control/socketname:-1 (Connection refused) in [/usr/share/php/Net/Socket/Tiarra.php, line 169]
2009-05-10 12:07:12 Warning: Warning (2): fsockopen() [<a href='http://php.net/function.fsockopen'>function.fsockopen</a>]: unable to connect to unix:///tmp/tiarra-control/socketname:-1 (No such file or directory) in [/usr/share/php/Net/Socket/Tiarra.php, line 169]
